이름,연도,타율,출루,장타,OPS,경기당득점,경기당안타,경기당2루타,경기당3루타,경기당홈런,경기당루타,경기당타점,경기당도루,경기당볼넷,경기당삼진,경기당병살,경기당희생타
KIA,2018,0.295,0.367,0.457,0.824,6.006944444444445,10.32638888888889,1.7916666666666667,0.1527777777777778,1.1805555555555556,15.965277777777779,5.715277777777778,0.6111111111111112,3.4930555555555554,6.284722222222222,0.9375,0.3888888888888889
SK,2002,0.27,0.339,0.433,0.772,4.646616541353383,9.075187969924812,1.5338345864661653,0.20300751879699247,1.1879699248120301,14.578947368421053,4.413533834586466,0.6015037593984962,2.8947368421052633,6.12781954887218,0.706766917293233,0.7218045112781954
두산,2014,0.293,0.366,0.431,0.798,5.3671875,10.1484375,1.8359375,0.203125,0.84375,14.921875,5.046875,0.8671875,3.65625,5.7109375,0.8046875,0.6328125
SK,2007,0.264,0.341,0.403,0.744,4.785714285714286,8.873015873015873,1.6825396825396826,0.15873015873015872,0.8888888888888888,13.53968253968254,4.507936507936508,1.0793650793650793,3.507936507936508,5.9523809523809526,0.6825396825396826,0.6904761904761905
삼성,2004,0.269,0.346,0.411,0.757,4.819548872180451,9.135338345864662,1.6917293233082706,0.06766917293233082,0.9924812030075187,13.93984962406015,4.511278195488722,0.37593984962406013,3.4586466165413534,5.293233082706767,0.9172932330827067,0.631578947368421
현대,2002,0.261,0.342,0.432,0.774,4.947368421052632,8.721804511278195,1.4360902255639099,0.18796992481203006,1.300751879699248,14.436090225563909,4.834586466165414,0.5939849624060151,3.488721804511278,7.105263157894737,0.6165413533834586,0.7443609022556391
KT,2020,0.284,0.358,0.436,0.794,5.645833333333333,9.944444444444445,1.6527777777777777,0.14583333333333334,1.1319444444444444,15.284722222222221,5.326388888888889,0.7361111111111112,3.8472222222222223,7.618055555555555,0.7222222222222222,0.4444444444444444
해태,1994,0.271,0.328,0.388,0.716,4.468253968253968,9.15079365079365,1.4523809523809523,0.1349206349206349,0.7380952380952381,13.087301587301587,4.238095238095238,1.3015873015873016,2.642857142857143,4.626984126984127,0.6031746031746031,0.6904761904761905
두산,1999,0.285,0.355,0.438,0.793,5.462121212121212,9.886363636363637,1.6515151515151516,0.23484848484848486,1.0681818181818181,15.212121212121213,5.25,1.0303030303030303,3.621212121212121,5.25,0.9545454545454546,0.5606060606060606
삼성,1992,0.265,0.349,0.404,0.752,5.023809523809524,8.952380952380953,1.3412698412698412,0.18253968253968253,0.9841269841269841,13.61111111111111,4.642857142857143,1.007936507936508,3.9206349206349205,4.920634920634921,0.753968253968254,0.4603174603174603
NC,2017,0.293,0.365,0.443,0.808,5.458333333333333,10.340277777777779,1.9236111111111112,0.13194444444444445,1.0347222222222223,15.631944444444445,5.131944444444445,0.6458333333333334,3.2708333333333335,6.798611111111111,0.8263888888888888,0.4305555555555556
NC,2019,0.278,0.345,0.416,0.762,4.680555555555555,9.604166666666666,1.7291666666666667,0.18055555555555555,0.8888888888888888,14.36111111111111,4.4375,0.5972222222222222,3.1666666666666665,6.111111111111111,0.875,0.4444444444444444
키움,2020,0.269,0.355,0.408,0.762,5.270833333333333,9.25,1.7638888888888888,0.1736111111111111,0.8819444444444444,14.006944444444445,4.951388888888889,0.7847222222222222,4.222222222222222,7.152777777777778,0.7430555555555556,0.2986111111111111
두산,2007,0.263,0.343,0.383,0.726,4.587301587301587,8.753968253968255,1.6587301587301588,0.25396825396825395,0.6190476190476191,12.777777777777779,4.309523809523809,1.2777777777777777,3.5634920634920637,5.936507936507937,0.8095238095238095,0.5396825396825397
현대,2006,0.27,0.35,0.384,0.734,4.341269841269841,8.761904761904763,1.3650793650793651,0.07142857142857142,0.7301587301587301,12.46031746031746,4.111111111111111,0.5634920634920635,3.5238095238095237,4.984126984126984,0.8571428571428571,1.2142857142857142
삼성,2009,0.275,0.364,0.432,0.796,5.150375939849624,9.203007518796992,1.7518796992481203,0.11278195488721804,1.0977443609022557,14.473684210526315,4.887218045112782,0.9398496240601504,4.390977443609023,5.932330827067669,0.8120300751879699,0.5037593984962406
KIA,2003,0.272,0.349,0.416,0.765,4.93984962406015,9.105263157894736,1.6466165413533835,0.12030075187969924,0.9699248120300752,13.902255639097744,4.706766917293233,1.0977443609022557,3.7969924812030076,5.421052631578948,0.5413533834586466,0.706766917293233
LG,1999,0.281,0.35,0.442,0.792,5.636363636363637,9.75,1.6515151515151516,0.30303030303030304,1.0984848484848484,15.303030303030303,5.303030303030303,0.75,3.242424242424242,5.848484848484849,0.6893939393939394,0.4318181818181818
삼성,1988,0.278,0.351,0.399,0.75,4.777777777777778,9.518518518518519,1.3703703703703705,0.19444444444444445,0.7870370370370371,13.63888888888889,4.5,1.0185185185185186,3.5277777777777777,4.564814814814815,0.6851851851851852,0.49074074074074076
LG,1990,0.271,0.352,0.375,0.726,4.816666666666666,9.075,1.3,0.3333333333333333,0.5083333333333333,12.566666666666666,4.4,1.1666666666666667,3.875,3.75,0.6833333333333333,0.4666666666666667
두산,2021,0.268,0.35,0.39,0.741,5.125,9.125,1.6319444444444444,0.11805555555555555,0.7638888888888888,13.284722222222221,4.847222222222222,0.5625,3.888888888888889,6.548611111111111,0.9513888888888888,0.3194444444444444
삼성,2005,0.268,0.357,0.391,0.749,4.873015873015873,9.0,1.4126984126984128,0.047619047619047616,0.8809523809523809,13.15079365079365,4.563492063492063,0.7698412698412699,3.9682539682539684,5.936507936507937,0.8888888888888888,0.7777777777777778
